name,description
"NAILTEK CITRA Formula 3 Protection for Dry, Brittle Nails 0.5oz","NAILTEK CITRA Formula #3 Protection for Dry, Brittle Nails .47oz  Conditions brittle dry nails, replenishes the natural moisture of the nails and provides the hydration necessary to resist stress and enhance survivability."
Wildberry Incense Sticks: Vanilla,"Vanilla incense is smooth, creamy and delectable."
"Wonder Pro Professional Red Rubber Sponge #01055 6 Count (2 Pack, 12 Pads)",Wonder Pro Professional Red Sponges-2 pack
Ronson 2.75 oz(78 Gram) Butane Multi-Fill/12 Pk.,Fills up to 20 disposable lighters per bottle.
"NUKSIT 10% Sulfur Ointment - Large tub 4oz, Powerful, Maximum Strength - Acne & Skin Care",This 4 oz size is an excellent value. Swiss formula is exclusively licensed and made in the USA for this listing. - The trademark Nuksit brand offers the most premium sulfur ointment available in the world.
JOVANA New Women Ladies Winter Warm Knitted Fingerless Gloves Hand Wrist Warmer Mitten (Grey),JOVANA New Women Ladies Winter Warm Knitted Fingerless Gloves Hand Wrist Warmer Mitten (Grey)
Rainbow Fairy Body Temporary BODY ART Mardi Gras Glitter Tattoo Xotic Eyes,"Temporary body art is HOT and completes any look. Easy to use do-it-yourself kit is REUSABLE and water resistant. MANY styles to choose from. Great for Dancers, Showgirls and Costumes, or an attention getting look at the club!"
Ambu 276-000-001 Res-Cue Pump,Ambu Hand held Rescue Pump
YANAGIYA Hair Tonic 150ml (Japan Import),Japan Hair Products - Yanagiya hair tonic 150ml *AF27*
Perfume oil - La vie est belle 1 oz.,"Pure fragance essence , the smell last a very long time due to its high quality."
Freeman Facial Diamond Mineral Clay Mask & Scrub 6 Ounce (175ml),"Gently Polishes For Radiant Skin, Instantly Illuminates, For All Skin Types, 10 Minute Mask"
"bareMinerals Lash Domination Mascara Petite Precision, 0.29 Ounce",Bareminerals lash domination volumizing mascara petite precision brush - intense black - 0.29 oz mascara
Vera Bradley Little Flap Hipster (Cocoa Moss) 12657-143,Vera Bradley Little Flap Hipster Cocoa Moss
